gene,undifferentiated,differentiated
Eif1,6473,5571
Asns,5262,6592
Vgf,5678,5988
Cct6a,6660,4985
Cox8a,5688,5830
Rpl10-ps3,5845,5612
Hnrnpu,6991,4364
Cox5a,5928,5412
Myl6,5982,5344
Hsp90b1,6462,4796
Atp5f1a,6291,4961
Ran,6489,4756
Cox6c,5852,5345
Acly,6994,4198
Eif3c,5760,5430
Sub1,6058,5056
Gm45713,6231,4840
Hspa9,5667,5328
Hnrnpa2b1,6690,4204
Rpl10a,5909,4960
Ranbp1,6626,4213
Arf1,6301,4528
Fscn1,6427,4398
Prdx1,6411,4278
Eef1g,5746,4874
Marcks,5470,5115
Calm3,5734,4842
Atf4,4772,5729
Tubb3,5198,5074
Eif4g2,5802,4453
Atp5f1c,5498,4753
Canx,5698,4550
Hnrnpl,6200,4026
Hand2,5477,4694
Psma7,5860,4305
Rcc2,5784,4290
Slc7a5,4942,5128
Vdac1,5290,4706
Hint1,5472,4518
Rpl21,5583,4301
Vim,5819,4016
Rars1,4922,4875
Hdgf,5266,4469
Sod1,4920,4772
Rps6,5379,4299
Micos10,5123,4526
Phox2a,6476,3171
G3bp1,5668,3942
Peg3,6375,3178
Arpc2,5480,4030
Eif2s2,4980,4484
Rpl36a,4752,4707
Cct8,5341,4111
Cox6a1,4508,4929
Srrm2,5650,3762
Rpl35rt,5220,4138
Cd9,5143,4178
Rhox5,4656,4610
Rac1,5020,4185
Lars2,4342,4842
Tcp1,5081,4037
Hnrnpa1,5542,3476
Atp5f1d,4508,4392
Cdc42,4708,3954
Pfdn2,4988,3630
Cox7a2,4482,4116
Ccnd1,4896,3688
Ywhab,4410,4155
Cct5,4417,4081
Cox6b1,4500,3961
Cct7,4367,4089
Psmb3,4644,3688
Ywhae,4638,3684
Hnrnph1,5284,2981
Rbx1,4676,3578
Rps3a1,4541,3702
Tpi1,4162,4060
Rpl15,4546,3636
Sox4,5275,2832
Fkbp1a,4514,3588
Hnrnpk,4568,3528
Cd81,3986,4094
Sdhb,3527,4538
Tbca,4794,3228
Cotl1,3674,4326
Eno1b,4288,3692
Dynll1,4480,3499
Gars1,3955,4020
Pcbp1,5055,2841
Snrpf,3846,3950
Atp5po,4001,3794
Ptms,4323,3466
Morf4l2,4477,3311
Mdh2,4208,3578
Phf10,3541,4210
Rpl24,4086,3664
Irf2bp2,4475,3262
Aprt,3655,4010
Capzb,4218,3424
Grina,3550,4054
Chd4,4782,2821
Atp5f1e,4016,3586
Slc38a1,4028,3544
Eif3d,4050,3488
Mdh1,3906,3624
Hspa5,3802,3715
Psap,4496,3010
Serbp1,4264,3218
Actn1,4334,3142
Hspe1,4012,3442
Atp5pd,3900,3552
Lsm7,4282,3092
Dpysl3,4696,2653
Skp1,4212,3135
Hspd1,3946,3392
Wdr89,3618,3701
Gnai2,3754,3477
Eif4b,4360,2871
Rplp2-ps1,3531,3612
Ppp2r1a,3921,3176
Calr,3639,3320
Sem1,3530,3428
Oaz1,4358,2594
Cacybp,3848,3091
Mapt,3500,3430
Slc3a2,3852,3021
Cyc1,3115,3740
Igfbp4,2924,3902
Fasn,3557,3225
Pebp1,3355,3400
Atxn2l,3601,3120
Fus,4326,2388
Ubc,3450,3254
Ppp1r14b,3688,3012
Baiap2l1,3768,2925
Srsf3,3875,2796
Sqstm1,3291,3353
Tcf25,3797,2845
Snrpd3,3624,3014
Gdi2,3796,2838
Olfm1,3751,2869
Ywhag,3601,3018
Uchl1,3684,2934
Ddx39b,3886,2674
Cst3,3331,3211
Eif4h,3666,2847
Eif3e,3628,2872
Crmp1,3543,2956
Hsbp1,3186,3302
Asl,4108,2374
Atp5mf,3468,3005
Wdr26,3718,2732
Gap43,3030,3360
Ywhah,3804,2552
Jund,3330,3007
Prdx2,3516,2814
Psmb2,3644,2681
Eif5b,3568,2753
Enc1,3452,2828
Rrbp1,3784,2466
Snrpd2,3189,3050
Txn1,3308,2926
Marcksl1,3880,2344
Eif4ebp1,2813,3401
Serf2,3360,2854
St13,3644,2544
Ctsd,3093,3080
Ndufc2,3269,2896
Nedd4,3742,2410
Dbi,3902,2232
Nfib,3606,2508
Cdk4,3514,2598
Tmsb10,3448,2649
Hmgcs1,2734,3300
Copa,3587,2440
Elob,2966,3051
H3f3a,3527,2486
Rbm39,3684,2326
Eef1a2,3472,2519
Rbms1,3594,2364
Slc25a3,3372,2585
Rps18-ps6,3187,2719
Psmd7,3280,2598
Ppp1ca,2994,2866
Psmb7,2844,3000
Son,3456,2383
Hmgcr,2929,2896
Ddost,3237,2558
Snrnp70,3698,2096
Alyref,3474,2312
Ndufb9,2833,2952
Rps27l,3602,2178
Uba1,3030,2727
Tubb4b,3074,2677
Eif3a,3910,1840
Atp6v0e,3129,2613
Ppp4c,3152,2571
Scd1,2938,2776
Prmt1,3058,2646
Rnf187,2781,2907
Pa2g4,3123,2557
Trim28,3291,2370
Atp5pf,2996,2658
Cd63,2928,2696
Mia3,3344,2279
Atp5pb,2872,2737
Ybx3,3068,2526
Psma2,2992,2572
Hnrnpa0,2922,2632
Xpo1,3289,2261
Tomm20,3289,2255
Chrna3,2944,2588
Cnbp,3316,2206
H2ac23,3117,2402
Ndufb11,2858,2655
Ppp1cb,3036,2470
Arid1a,3244,2254
Cox7b,3084,2414
H2ac24,3107,2390
P4ha2,3153,2329
Tsnax,2938,2541
Cbx6,3242,2238
Metap2,3276,2200
Psat1,2561,2860
Ppp2ca,3020,2392
Csnk1a1,3072,2332
Eif4g1,3238,2149
Park7,2618,2764
Cadm1,3424,1956
Eif3i,2891,2484
Cltc,2970,2379
Cox5b-ps,2640,2702
Ndufa6,2584,2729
Ddb1,2797,2513
Pdia3,2912,2394
Pfkl,2997,2290
Gpi1,2810,2468
Laptm4a,2840,2438
Map4k4,3052,2224
Srebf1,2802,2440
Cct3,2989,2252
Nme1,2766,2475
Ndufs2,2776,2464
Aars1,2818,2420
Uqcrb,2673,2557
Nup93,3488,1734
Banf1,2822,2385
Sf3b1,3188,2010
Tmbim6,2341,2850
Sdhc,2716,2464
Cs,2596,2583
Stmn3,2660,2499
Larp1,3032,2108
Swi5,2711,2419
Top2a,3468,1634
Ptn,2730,2360
Prrc2c,3127,1951
Caprin1,3060,1997
Ewsr1,3242,1812
Tpr,3224,1800
Romo1,2520,2499
Trir,2741,2266
Flna,2861,2133
Tkt,2412,2576
Gpx4,2476,2503
Rap1b,2983,1994
Rnf149,3047,1929
Kars1,2630,2335
Pfdn5,2758,2178
Pdap1,2667,2263
Rhoa,2593,2322
Fkbp4,2503,2411
Rgs4,2772,2140
Eif3m,2855,2052
Atxn7l3b,2770,2128
Atp6v1b2,2803,2087
Slc2a3,2797,2091
Fbl,2784,2097
Tecr,2455,2425
Atp5mc1,2449,2424
Gna13,2985,1880
Csde1,2814,2042
Dynlrb1,2468,2386
Timm13,2257,2593
Sec61b,2707,2134
Vcp,2657,2184
Emb,2935,1894
Mrpl30,2550,2265
Snrpb,2623,2190
Ndufv3,2518,2286
Arhgdia,2548,2249
Rbbp7,2724,2072
Hnrnpa3,2928,1863
Hdac2,3016,1762
Fdps,2094,2680
Nme1nme2,2581,2193
Psmb4,2312,2462
Slc38a2,2754,2014
Cd24a,2926,1830
Vdac3,2414,2322
Hnrnpc,2750,1978
Nsa2,2562,2148
Tubb2b,2270,2439
Rsl1d1,2620,2076
Dnaja1,2486,2191
U2af1,2694,1970
Larp4b,2488,2172
Nucks1,2833,1825
Sfpq,2944,1707
Ndufa13,2258,2380
Ddx3x,2933,1688
Srp14,2651,1970
Snrpe,2602,2016
Basp1,2574,2040
Pfkp,2502,2110
Clta,2556,2052
Alkbh5,2583,2016
Rrp1,2606,1991
Rpl26,2421,2159
Cnot6,2706,1869
C1qbp,2641,1934
Enah,2540,2034
Ssrp1,2656,1910
Hmgb2,2888,1676
Noct,2970,1589
Eif2s3x,2654,1895
Atp6v1a,2300,2240
Uqcr10,2374,2166
Wdr6,2353,2185
Adgrl1,2801,1728
Psma6,2543,1979
Fam162a,2539,1982
Psmd2,2550,1966
Acot7,2339,2175
Anp32b,2739,1766
Ube2c,2655,1849
Rnf126,2572,1918
Stip1,2435,2044
Ubr5,2852,1624
Arf5,2240,2229
Top1,2724,1744
Tle5,2138,2315
Mtdh,2493,1960
Ptbp1,2412,2036
Srsf2,2703,1739
Rbm25,3011,1417
Rbm8a,2377,2040
Ube2d3,2421,1993
Uqcrc2,2402,2004
Rpn2,2415,1990
Irs2,3155,1245
Pcbp3,2721,1679
Eif3l,2548,1849
Ndufs6,2182,2208
Bnip3,2319,2054
Tsn,2323,2032
Mprip,2474,1874
Shc1,2416,1916
Nars1,2308,2018
Elavl4,2743,1570
Srsf1,2694,1616
Mrfap1,2106,2199
Dut,2570,1732
Ndufa8,2369,1922
Phb2,2286,2006
Ndufab1,2221,2069
Egln1,2235,2049
Serinc1,2540,1738
Sparc,1875,2403
Cited2,2136,2136
Ghitm,2116,2154
Atp5mk,2522,1746
Csnk2b,2271,1986
Ciapin1,2067,2185
Rpl36al,2101,2145
Kpnb1,2489,1747
Erh,2521,1709
Snx3,2141,2074
Sptbn1,2489,1724
Eloc,2250,1961
Mat2a,2736,1465
Got2,2333,1859
Cbfb,2821,1359
Calm2,2486,1692
Snrpd1,2392,1785
Ankrd11,2790,1387
Cxxc5,2571,1602
Srsf7,2544,1604
Anp32a,2461,1686
Ifitm2,2365,1778
Kdm6b,2178,1964
Sqle,1859,2282
Psma1,2154,1985
Eif4a1,2309,1824
Cops3,2284,1844
Bclaf1,2702,1422
Lamp1,2242,1871
Bex2,2232,1872
Psmb6,2038,2065
Sars1,2058,2037
Ndufs7,2047,2031
Rad21,2558,1512
Atp5me,2111,1953
Cebpb,1912,2150
Hnrnpm,2578,1476
Rab6a,2204,1846
Eif4g3,2194,1844
Clcn3,2266,1770
Npdc1,2153,1879
Raly,2018,2013
Msmo1,1794,2230
Bub3,2338,1680
Fbxl20,2846,1155
Elavl1,2380,1618
Psma3,2233,1764
Ube2b,2446,1548
Gspt1,2435,1555
Spcs2,2159,1829
Cdc34,1946,2038
Dusp6,2163,1819
Fbln1,2084,1897
Nsg2,3023,956
Dnaja2,2198,1777
Snrpb2,2270,1698
Taldo1,2011,1954
Eif3g,2014,1947
Rtn4,2248,1711
Tesc,1824,2134
Slc16a3,2155,1802
mt-Nd4l,2257,1692
Brd2,2454,1494
Slc25a39,2032,1912
Macroh2a1,2262,1679
Lars1,2146,1787
Ak2,2420,1508
Rbbp4,2478,1444
mt-Atp8,2336,1581
Surf4,2134,1781
Midn,2312,1598
Sf3b3,2330,1573
Slc1a5,1941,1954
Cnot1,2292,1602
Tomm22,2092,1801
Nme2,2083,1810
Vdac2,2095,1793
Hmgn1,2131,1750
Lmo1,1877,1998
Ndufa12,2022,1852
Saraf,2008,1862
Nsfl1c,2168,1700
Sec61a1,1792,2070
Leprotl1,1778,2079
Polr2c,1967,1886
Ndufb8,1959,1887
Rab14,2112,1733
Rsrp1,2434,1410
Eif3k,2087,1748
Arf4,2079,1756
Srebf2,2010,1824
Kdelr2,2066,1763
Txnrd1,2124,1704
Taf10,1893,1933
Aamp,2103,1719
Lonp1,1790,2019
Ywhaq,2079,1726
Ube2m,1980,1822
Myl12a,2139,1663
Ndufv2,1982,1818
Tspan31,2059,1740
Uqcrh,2016,1783
Shmt2,2022,1776
Rab1a,2041,1747
Sf3b5,2006,1782
Ina,1917,1866
Idh3g,2087,1695
Klf7,2312,1467
Get3,1772,1999
Rdx,2113,1647
Atp5if1,1956,1800
Ncam1,2744,1010
Ndufb7,1864,1888
Uqcrc1,1816,1932
L1cam,2282,1456
Nop10,1984,1754
Hspa4,2092,1639
Cope,1798,1923
Gm8797,1849,1872
Gsk3b,2151,1560
Ganab,1996,1712
Gdi1,1994,1700
Pum2,2194,1499
Snd1,1996,1694
Eef1d,1960,1728
Mapk1,2081,1606
Csnk1e,2209,1478
Eif3b,2137,1548
Tardbp,2385,1298
Spock2,2402,1278
Smarca5,2170,1508
Snap25,2093,1584
Tgfb2,1837,1836
Atp5mj,1945,1727
Nono,2120,1505
Gnao1,1983,1642
Ube2s,1879,1744
Nsun2,2022,1591
Snrpc,1902,1701
Xbp1,1862,1739
Ppp3r1,2004,1594
Glrx3,2012,1577
Actr2,1864,1724
Arf3,1996,1584
Arl6ip1,2157,1420
Stmn1,2118,1458
Fads1,1760,1816
Samm50,1801,1772
Kdm1a,2124,1439
Afdn,2006,1552
Actn4,1960,1594
Csnk2a1,1963,1576
Uqcr11,1657,1880
Oxct1,1996,1541
Ptp4a2,1924,1610
H2az2,1982,1548
Laptm4b,1746,1783
Cstb,1771,1756
Vapa,2054,1470
Zfp706,1814,1703
Nfe2l1,1738,1768
Ndufa5,1688,1814
Nktr,2370,1130
Paip2,1934,1556
Psip1,2136,1352
Luc7l2,2253,1232
Psmd14,1971,1507
Rtraf,1982,1491
Snrnp200,1919,1554
Pbrm1,2012,1460
Ndufa7,1729,1738
Celf4,2226,1240
Ahnak,1509,1954
Ctnnb1,2075,1381
Ctbp1,1884,1568
Ago2,1902,1548
Nudt21,1945,1503
Bzw2,1846,1601
Rtn3,1890,1550
Xpot,1884,1546
Ube2i,2023,1404
Noc2l,1956,1468
Mthfd2,1795,1628
Itgb1,2009,1414
Tars1,1797,1622
Pomp,1704,1712
Tra2b,2178,1238
Msn,2043,1371
Ankrd17,2024,1386
Mrps14,1580,1829
Tm9sf5,1937,1468
Dynlt1b,1851,1552
Atp5mc2,1746,1654
Tomm7,1786,1613
Phf5a,1875,1522
Ndufa10,1687,1695
Ndufa1,1553,1822
Tspan13,1915,1459
Rer1,1758,1614
Prnp,1843,1528
Mlf2,1752,1618
Sap30,1898,1466
Sod2,1704,1656
Atp6v1g1,1642,1717
Snrpg,1986,1368
Huwe1,1976,1377
Acin1,2194,1153
Dynlt1a,1789,1549
Pdxp,1659,1676
Wnk1,2022,1312
Pdia6,1846,1484
Pik3r2,1512,1810
Hpf1,1800,1520
Ube2n,1952,1367
Anxa2,1890,1427
Arglu1,2141,1172
Ube3a,1944,1366
Nudc,1868,1442
Dnajc7,1744,1563
Polr1d,1818,1488
Glg1,1862,1443
Hmgb1,2196,1101
Gna11,1764,1529
Npepps,1877,1411
Smc4,2084,1203
Psmc6,1846,1440
Racgap1,2152,1134
Calu,1816,1464
Naa10,1696,1580
Rab2a,1762,1508
Eif5,1972,1298
Matr3,1952,1313
Ccnb1,1951,1306
Nutf2,1869,1383
Paics,1934,1313
Bax,1718,1529
Higd1a,1478,1766
Sptan1,1846,1396
Mybbp1a,1814,1424
Atxn10,1793,1444
Cavin2,1774,1460
Esf1,1748,1483
Acbd6,1592,1637
Sbno1,2036,1191
Cemip2,2073,1152
Purb,1946,1274
Psma4,1780,1437
Wwc2,2101,1115
Atp6v0c,1587,1628
Idh3b,1693,1522
Ndufa2,1487,1723
1110004F10Rik,1838,1365
Nhp2,1658,1545
Psme4,1704,1497
P4hb,1882,1318
Dynlt1f,1748,1450
Lypla2,1675,1522
Capza2,1872,1320
Arpc5,1997,1194
Rpa3,1943,1244
Ube2srt,1627,1559
Cdk11b,1823,1363
Ndufb5,1632,1551
Bzw1,1942,1238
Atf5,1482,1697
Dctn2,1634,1541
Hnrnpd,2001,1166
Tpp2,1896,1271
Odc1,1735,1430
Sf1,1912,1249
Tial1,1934,1223
Cd47,1628,1521
Cfap36,1605,1543
Pbx1,1966,1180
Smc3,2078,1067
Prpf19,1569,1576
Nipbl,1888,1250
Crip2,1798,1339
Prelid1,1542,1592
Dynlt1c,1707,1423
Dazap1,1850,1278
Kif5b,1779,1349
Myh9,1788,1338
H1f10,1909,1211
Cox17,1567,1552
Vars1,1566,1544
Ube2r2,1679,1430
Srsf5,1747,1362
Pgam1,1722,1383
Copb2,1774,1328
Cyb5b,1647,1455
Smarcc1,1947,1153
Ppig,1960,1138
Selenow,1192,1906
Lrrc59,1596,1498
Ncor1,1888,1200
Tmpo,1880,1206
Rbm17,1840,1244
Rabac1,1377,1706
Atox1,1728,1352
Prkaca,1526,1552
App,1630,1448
Strap,1640,1438
Yars1,1471,1603
Tnpo3,1662,1407
Ipo7,1706,1361
Gabarap,1602,1458
Txn2,1585,1475
Ret,2117,939
Sf3b6,1819,1233
Dkk3,1848,1204
Cyb5r3,1775,1275
Ndufb6,1646,1396
Mrpl15,1638,1404
Psme3,1810,1229
Srp72,1710,1326
Smdt1,1565,1470
Tomm70a,1679,1356
Rpl35a,1660,1374
Gm49383,1535,1498
Ciao2b,1602,1423
Selenok,1680,1343
9530068E07Rik,1662,1359
Ap1s1,1633,1384
H2az1,1808,1207
Psma5,1858,1157
Cops6,1587,1424
Mtch1,1656,1353
Myc,1970,1038
Mtch2,1652,1341
Etfa,1731,1260
Txndc9,1702,1286
Psph,1284,1703
Herc1,1784,1197
Irf2bpl,1716,1265
Psmc3,1540,1438
Derl1,1446,1530
Kif1b,1727,1246
Psmd3,1579,1394
Prpf40a,1871,1100
Cetn3,1700,1270
Tmed10,1645,1322
Psmd12,1638,1320
Ola1,1543,1412
Dhcr7,1309,1644
Cox7a2l,1478,1468
Usp34,1720,1222
Arpc3,1539,1402
Arf6,1600,1336
Psmd8,1537,1398
Dctn3,1537,1398
Celf1,1754,1179
Hnrnpdl,1772,1161
Lrrc58,1730,1199
Id1,2347,576
S100a10,1725,1190
Srsf10,1890,1020
Ssr4,1540,1370
Ppib,1577,1332
Psmd11,1551,1347
Rangap1,1643,1255
Stx16,1856,1042
Smarcb1,1517,1380
Nutf2-ps1,1650,1235
Ube4b,1675,1203
Rnf4,1732,1144
Eif2b2,1684,1187
Prpf8,1598,1271
Maz,1414,1455
Sec13,1535,1334
Srrm1,1708,1160
Mapk8ip1,1474,1393
Gpx1,1298,1568
Gstp1,1472,1393
Aurkaip1,1483,1382
Txnl1,1595,1269
Fubp1,1744,1118
Lsm4,1534,1327
Cox14,1499,1358
Gpm6b,1681,1175
Trmt112,1510,1343
Srsf6,1920,933
Arid2,1665,1186
Hsph1,1638,1211
Ddx39a,1685,1160
Hnrnpr,1760,1084
Ttc3,1824,1019
Nop58,1648,1194
Ndufs4,1575,1264
Zcrb1,1471,1364
Pcmt1,1516,1318
Prdx6,1618,1215
Clic1,1479,1352
Nob1,1493,1338
Cfdp1,1646,1184
Pcbp4,1570,1260
Mbtps1,1648,1180
Sf3b2,1746,1081
Tsfm,1604,1222
Picalm,1587,1236
Dst,1709,1110
Mrpl53,1583,1235
Amfr,1447,1363
Sdha,1460,1348
Psmc1,1478,1330
Snrpa,1505,1301
Sec61g,1575,1230
Aff4,1740,1064
Pfdn4,1665,1135
Manf,1480,1317
Chchd1,1627,1169
Gch1,1671,1121
Emg1,1570,1221
Prrc2a,1418,1372
Csnk1d,1529,1255
Atp2b1,1708,1074
Eny2,1512,1268
Dhx9,1831,948
Emd,1406,1371
Gls,1653,1124
Sh3bgrl3,1117,1659
Polr2e,1539,1235
Atp6v1e1,1510,1262
Nsd2,1653,1112
Ndufa9,1424,1341
Ogt,1728,1035
Hyou1,1481,1280
Rpn1,1575,1184
Tmed4,1537,1221
Ddx17,1657,1100
Pmp22,1860,895
Ppm1g,1529,1223
Smarcd1,1548,1192
Sf3a1,1557,1178
Tmem258,1412,1321
Gtpbp4,1528,1204
Erhrt-ps,1606,1124
Slc7a1,1551,1177
Farsa,1468,1259
Cd151,1458,1270
Mbnl2,1610,1115
Peli1,1668,1056
Ogdh,1467,1257
Srm,1363,1358
Larp4,1556,1162
Rbms3,1672,1044
Dync1h1,1427,1289
Vegfa,1378,1336
Pcp4,925,1789
Dpysl2,1549,1161
Rab10,1450,1256
Dync1li1,1450,1251
Cd164,1542,1158
Eif1ax,1434,1266
Krtcap2,1321,1377
Yme1l1,1556,1136
Gsr,1498,1194
Cdc16,1526,1163
Atp6ap1,1364,1325
Ccni,1600,1084
Ttyh3,1456,1225
Ptgir,1541,1140
Plod3,1404,1276
Ak6,1500,1179
Nop56,1723,954
Cycs,1426,1250
Pcm1,1744,930
Dtymk,1607,1064
Cnn3,1654,1014
Bod1l,1696,972
Pura,1538,1124
Mta1,1526,1129
Lsm6,1518,1135
Ldlr,1534,1118
Fkbp3,1478,1172
Syt1,1614,1036
Sarnp,1549,1100
Cyp51,1276,1372
Abce1,1498,1148
Mapre1,1498,1143
Nop53,1388,1251
Mtpn,1470,1168
Nudt3,1430,1204
Prrc2b,1672,960
Uck2,1391,1239
Cnr1,1668,958
Zkscan17,1584,1042
Supt16,1684,933
Rab11a,1452,1163
Mrpl20,1334,1281
Trib2,1437,1175
Ddx21,1535,1076
Ssb,1592,1016
Znrf1,1467,1140
Coro1c,1419,1187
Cops2,1464,1142
Mafg,1488,1118
Dohh,1344,1262
Rwdd1,1429,1174
Khdrbs1,1471,1130
Parp1,1603,994
Wipi1,1534,1059
Ndufb10,1435,1156
Mknk2,1153,1438
Lims1,1568,1019
Tubb2a,1185,1401
Trip12,1558,1026
Nup88,1535,1048
Puf60,1510,1072
Glrx5,1361,1220
Atp6v1h,1436,1142
Ppm1l,1368,1209
Nav1,1698,876
Cbx5,1636,934
Pgls,1333,1236
Mcrs1,1359,1210
H2-K1,1282,1283
Anxa6,1283,1282
Mtx2,1459,1104
Ruvbl2,1327,1230
Cnot7,1458,1098
Tnpo1,1518,1036
Usp19,1469,1082
Magoh,1420,1131
Ank3,1474,1070
Fxr1,1550,994
Aimp1,1280,1264
Pold2,1248,1292
Mettl9,1440,1098
Dda1,1352,1184
Dynll2,1392,1143
Ash2l,1421,1113
Tusc3,1412,1121
Nufip2,1508,1021
Slc25a1,1182,1346
Zc3h15,1512,1015
Skic8,1350,1177
Srp68,1421,1102
Fkbp8,1251,1269
Ptov1,1398,1121
Septin2,1451,1067
Wasl,1377,1139
Akr1a1,1346,1169
Eif2s1,1440,1075
Usp7,1506,1006
Pgp,1189,1323
H1f0,1488,1023
Ctsl,1204,1304
Ddx1,1315,1189
Junb,1587,915
Ssr3,1409,1091
Gtf2e2,1402,1095
Acat1,1424,1073
Tmem59,1397,1099
Rab5if,1214,1279
Nisch,1472,1021
Khsrp,1394,1097
Cse1l,1465,1022
Slc36a1,1888,598
Spred2,1456,1030
Mid1ip1,1402,1081
Taok1,1416,1066
Camk2n1,1587,893
Ppp2r5a,1207,1273
Nckap1,1432,1046
Scaf11,1598,880
2510039O18Rik,1364,1112
Dazap2,1354,1118
Atp6v1f,1132,1338
Trps1,1400,1068
Brix1,1423,1041
Stoml2,1380,1080
Vbp1,1452,1006
Ube2k,1318,1140
H13,1444,1011
Snu13,1328,1125
Tuba1c,1308,1144
Ilf2,1514,934
Tcea1,1279,1167
Srp9,1324,1118
Cep44,1667,775
Cttn,1373,1068
Arpp19,1313,1128
Nsmce1,1384,1056
Ckap5,1449,990
Ndfip1,1314,1125
Fdft1,1198,1240
Hspb8,1250,1188
Morf4l1,1468,969
Marchf11,1574,858
Rheb,1322,1110
Sdcbp,1380,1051
Myef2,1471,960
Eef1e1,1497,934
Crip1,1562,865
Rundc3a,1334,1092
Hdlbp,1269,1156
Cdk1,1552,873
Gar1,1321,1103
Psmc2,1172,1249
Cops5,1300,1119
Pes1,1374,1040
Edf1,1206,1209
Maea,1309,1105
Timm44,1418,995
Pcdh1,1371,1042
Bola2,1261,1149
Scarb2,1236,1172
Ssu72,1172,1234
Fh1,1294,1110
Ndufa3,1178,1225
Timm17a,1379,1024
Dad1,1211,1191
Poldip3,1341,1060
Uqcrfs1,1278,1122
Ufc1,1255,1145
Tsen34,1387,1012
Ipo5,1312,1086
Sez6l2,1194,1202
Copz1,1225,1171
Mrto4,1279,1115
Lgmn,1252,1142
Tspan7,1295,1098
Csnk2a2,1316,1076
Lamtor1,1387,1002
D8Ertd738e,1189,1199
Cdk2ap1,1275,1112
Trim35,1275,1112
Ndufv1,1157,1230
Ube2j2,1339,1042
Akap12,1544,834
Bag6,1409,969
Safb,1512,864
Hars1,1280,1096
Atad1,1318,1057
Cand1,1426,946
Atp2a2,1384,988
Actr3,1380,989
