gene,undiff_rep1,undiff_rep2,undiff_rep3,diff_rep1,diff_rep2,diff_rep3
Btf3,14710,17544,18004,21336,21722,16271
Gm12174,17020,17242,18301,18031,23524,19678
Ybx1,29230,24554,21291,16873,22630,22214
Rars,15954,17725,17179,17123,19793,22694
Hnrnph1,18888,22952,21747,12492,20139,17664
Gdi2,19874,20226,20247,20912,18177,15719
Usp9x,23854,17075,18952,21692,18538,13292
Srrm2,15171,24063,26994,17427,19859,16113
Grina,9215,6906,10215,27112,27206,32395
Rps3a1,17286,20248,26302,20180,15152,15872
Cox4i1,13523,20350,19170,26023,17240,14490
Igfbp4,13479,10316,16231,26748,42269,26262
P4hb,18535,16475,18323,18253,20382,17203
Spock2,19435,22593,24054,16915,20093,11949
Ddx3x,18978,20556,22555,16652,12509,16364
Slc7a11,19871,13000,24632,17763,17282,16090
Cct8,19172,16614,18530,16018,14852,12031
Pgam1,14034,17262,13371,23951,22133,24155
Map4k4,13647,14243,18021,17223,21681,21477
Rpn2,14619,23023,15466,22029,13695,18584
Prrc2c,25253,25390,26010,23327,16656,17086
Hmgcs1,10278,10868,11005,21543,29594,19023
Tpt1,18859,19731,19841,20588,21729,15947
ND6,14564,12642,17752,15389,12407,22444
Hyou1,17983,18119,21878,18321,19265,9770
Eef1b2,16248,15713,15762,12706,16059,11993
Xpo1,23256,23074,16534,18614,12653,16749
Larp1,18616,15622,14723,18643,20170,19101
Baiap2l1,15687,15744,13846,14032,25394,23668
Ywhab,17219,17300,15136,16236,16511,14983
Rps15,23089,20488,16357,11411,16010,21927
Ftl1,23846,14422,23082,19350,11989,11540
Hnrnpk,20039,13573,14811,21325,14568,14934
Ddit4,8286,7829,6929,26682,23597,23474
Marcks,10052,12375,13412,17791,15451,20778
Sf3b3,24197,20892,28272,14625,13367,16799
Cfl1,22602,19639,16239,15960,19927,23621
Gnb2,16323,23996,16524,21762,15142,16006
Rps10,19357,19716,17532,24187,14942,17063
Cct7,22667,21848,24086,17301,13545,10599
Gm9794,20427,16095,20671,19857,15382,17141
Rad21,23440,22811,18488,14039,13377,11425
Ipo7,16718,20504,21540,15048,16487,17664
Ppp2ca,22315,19123,17327,19169,17585,14563
Tubb3,10897,13342,15862,19581,20172,17609
Pdia3,20801,19878,24782,14146,16415,19173
App,13946,16730,8708,16632,22974,18024
Rpl14,22179,16402,14823,11277,17314,9987
Pcbp2,23487,11356,13256,14163,14966,16553
Arhgdia,23475,20766,14507,12018,11738,13065
Wdr6,10209,14274,12870,16086,24688,18895
St13,12242,15884,17068,15548,13273,17205
Srebf2,14714,11706,17422,16336,16945,26054
Cdc42,13165,25820,20469,17095,18052,22810
Tpr,17994,16557,19109,14732,12096,11889
Trim28,21474,14810,18154,14602,12589,14028
Pfkl,8226,10129,12530,16867,23920,31483
Hand2,10275,16392,16307,19414,17830,14086
Tmbim6,11528,9838,10177,17107,26368,18230
Rpl19,17096,15779,19293,13730,16410,11794
Calm1,14080,15502,13529,18208,13500,16380
Mybbp1a,19916,18269,19562,10303,15041,9796
Srebf1,9579,11410,10944,30987,23548,17844
Eef1a2,13443,17472,15966,14993,10216,10659
Ranbp2,17512,14881,16167,14101,12084,16254
Vcp,14199,17083,17195,18447,14122,14290
Eif3h,11528,12555,15237,11213,22126,19143
Hmgcr,13161,14153,9698,24202,19352,23048
Rpl11,17885,15261,24419,11369,13697,12542
Pebp1,16931,15035,21390,13354,18361,19652
Alkbh5,11567,9956,18594,11934,18103,18953
Atp6v1b2,13855,14355,19302,18649,14571,13883
Rpl15,13829,13199,16343,14382,15344,14128
Rpl32,13877,21188,13821,11065,15378,17381
G3bp1,18627,17541,15076,12642,14517,9808
Ywhah,12097,15239,10273,20831,15726,16081
Mki67,22259,15223,19777,8411,10109,10925
Ppp2r1a,16569,12448,11522,15695,17051,14119
Wnk1,20597,13829,14632,13582,13333,14103
Rtn4,10980,11033,14842,15857,12921,24659
Calu,17794,18531,13826,21686,20376,10302
Serbp1,17251,16254,15975,12927,7884,14361
Xpot,15131,15522,15039,13451,17312,17180
Prdx2,12202,16658,17562,17917,11620,16695
Slc38a2,13494,14217,13845,11226,16918,14558
Lamp1,15889,15897,18808,16364,17973,21079
Dhx9,18874,16921,16401,12628,9093,10139
Eif3f,14942,15655,13232,11459,14609,12508
Cdk4,15166,19705,14706,15589,13013,12331
Aff4,16670,14008,13091,24355,15570,15732
Vars,16967,17343,17723,16727,13302,12411
Nars,9307,12980,15252,13212,17017,21423
LOC102635048,13249,15098,14185,16120,15408,10027
Tpi1,6879,11011,12994,17890,19479,21579
Stip1,9722,16639,12588,11014,13064,14222
Odc1,16659,13527,19231,14946,14104,8856
Rps26,20335,16398,16132,13797,11721,13131
Tcf25,13414,12895,10461,15926,22659,14201
Enc1,9865,13186,9466,17105,19839,13938
Ddx21,15680,18622,18919,8704,10646,16386
Vim,20459,21983,20428,9809,13559,8495
Uck2,15422,12051,16074,13262,14306,15601
Cs,15564,12928,15197,14179,8763,13278
Rpl31,15081,17022,14381,13587,11871,12205
Pcdh1,12481,10278,11343,22052,13260,19734
Fkbp4,18487,16867,14876,14687,14859,12925
Parp1,17433,15664,17623,12086,15093,18068
Ywhaq,16257,10984,18846,12791,18610,16063
Sfpq,15152,20481,20071,15026,13373,10340
Rpl23,16412,18998,13229,18729,16381,13958
Mdh1,13445,15700,16770,15586,16510,14231
Gm10051,18390,11727,18053,11087,13322,9220
Snd1,10790,15521,9804,13096,15675,16986
Gm15772,14556,12347,15730,12802,16572,13488
Abce1,15806,15415,14348,13702,17151,11623
Arpc2,12152,16513,15685,13792,13370,16344
Srsf1,24612,15646,14386,11612,9801,12336
Fads1,12707,7204,8083,13088,21184,20282
Gm8451,13729,14479,14576,13783,16122,15501
Lonp1,11886,10213,9355,21769,16409,18001
Arf3,14222,11363,12134,16633,11424,15938
Cbx5,10068,13965,13749,12296,11099,16392
Atxn2l,14251,15446,14642,13773,15956,16900
Fus,16950,16776,20581,10507,12359,10967
Hnrnpa3,15000,13527,12429,11156,14080,15822
Got2,12511,13594,15819,12847,17898,13511
Gtf2i,13542,14565,13091,17175,9928,13467
Psmd2,15866,16565,17053,11598,10002,11278
Tnpo1,18208,14182,17777,17312,14430,15501
Fkbp1a,15926,11669,15603,12180,16447,14543
Ctnnb1,16000,14916,15600,10751,8549,12512
Ddost,20368,13767,12808,15122,18352,13838
Hnrnpf,14486,16105,19379,9505,11237,11174
Son,14100,18430,20052,11574,11120,12243
Ptbp1,12090,19705,11932,8445,9299,8853
Rpl13-ps6,18877,15842,15669,13296,15582,22681
Kif1b,14843,12650,12039,12663,24467,14790
Csnk1a1,14607,11630,9858,13017,14395,16681
Rrp1,16677,15591,19895,10854,16989,11891
Gm11478,13056,11703,13958,12890,13444,14264
2017-03-06 00:00:00,12596,11344,17364,16998,17238,10575
Ptges3,14549,13053,13194,14724,13867,12804
Peg10,7462,7620,7095,36190,19315,23249
Rpl13,14173,13761,10741,13670,10504,15168
Dkk3,19554,20457,14995,14877,11547,15367
Slc3a2,12785,12669,8571,13092,11324,18366
Actr2,13431,12625,12766,13973,12370,13823
Tcf4,12084,15271,16289,12935,18560,12118
Nono,13100,13435,16026,12528,13063,12991
ND4L,15414,13706,13594,16179,13749,18558
Cct3,17522,18218,16267,10136,9091,17007
Rpl10a,12743,20776,14307,12979,12554,12340
Atp5g3,14568,12746,15096,9790,7624,11784
Hdlbp,11010,13189,10714,12057,13105,15393
Gm8623,14287,14084,15631,13097,10806,9663
Slc25a3,17531,15681,14728,8748,11433,10986
Rdx,12493,15092,11597,17677,13702,16077
Tubb4b,14959,13059,12769,12985,9100,11922
Mrfap1,13125,11957,16771,10957,16670,13971
Eif1,13381,13746,9778,16079,12644,15337
Kars,11540,18094,13206,11980,7606,10770
Fbln1,10888,9280,12022,12424,17692,14594
Tkt,10025,8862,12922,12517,13848,14191
Rps18,16212,16778,14317,13260,9372,11712
Rps11,11884,15718,10416,10851,13905,14572
Naca,15846,17158,17161,12202,11507,9964
Rps16,18468,11775,13676,11118,12742,14610
Hsph1,15540,15781,12637,12497,7227,9441
Rad23b,12575,14488,16818,9511,10642,11912
Crmp1,11271,11686,10636,19559,14144,13661
Pa2g4,16299,15871,11751,8446,8029,9211
Ppp1cb,9406,11082,7025,14866,14396,11712
Enah,12064,13161,10722,20757,15554,10774
Mdh2,21279,13642,13165,8740,11644,9846
Atp2a2,13131,12429,14324,9306,13674,11194
Bag6,13092,12522,13843,9577,11638,9990
Uggt1,11002,12076,11504,8095,10855,11532
Sars,12320,11827,12448,12093,12071,14973
Hnrnpl,11862,14230,15337,16059,8964,11350
Cnbp,11874,13346,11960,9414,9961,9897
Srp54b,16518,16692,14947,11292,14672,12549
Rbbp4,12254,15106,14836,12238,9385,11700
Slc7a1,13764,10620,10895,15125,18222,13238
Prrc2b,18335,17244,14710,7491,10019,8856
Nsun2,15917,13723,13103,10575,8458,7305
LOC108167922,14977,13471,11717,15406,10563,14756
Nudc,21460,14768,14718,12894,8016,9055
Atp5c1,12882,12008,11244,8461,8687,13361
Glg1,8981,9293,12942,15329,11706,10225
Gm14586,10665,13721,14114,13686,12994,9122
Cyb5b,10464,8055,11713,16558,17147,10035
Rpl12,16297,11602,16983,10724,8127,13121
Bzw1,16444,14357,17710,11317,12397,11346
Cyc1,11462,14156,19498,11711,10584,8261
Ganab,9919,12106,9909,11769,12649,12326
Cd9,7982,13015,11607,16003,17916,19543
Gm13215,13234,13997,11634,12015,13671,11698
Ssrp1,13221,13301,13181,9325,12451,14312
Morf4l2,13859,12977,13786,10279,11226,11143
Rpl22,12760,12016,12240,10740,9549,9965
Pfkp,9121,10311,9570,19070,17135,14920
Rpl28,12555,11942,13322,12002,8184,6966
Txnrd1,15571,19330,19549,10737,9837,6373
L1cam,10192,8502,7041,14621,11711,16658
Rbbp7,14332,14503,10124,13076,8042,13404
Ddr2,13234,10240,7518,13302,15382,18661
Pik3r2,9873,7245,9336,15750,14399,18197
Rps7,11963,13112,12061,9714,9785,13308
Chchd2,9746,14434,14114,11276,11232,10393
Gpi1,10624,8820,13793,14615,12263,13961
Tagln2,9247,19416,13191,7838,11343,12499
Eif3l,10347,14969,10386,7529,8401,10538
Mapk1,14074,11331,13008,9626,12421,9879
Pcbp3,15219,12267,18408,11330,11247,8871
Stmn1,12609,11329,18315,9308,8622,9035
Ipo5,9695,13699,13040,9592,13157,13259
Gdi1,9452,10147,10380,9233,10244,16174
Mprip,9798,8634,11730,22348,13573,12705
Skp1a,14204,10528,14064,10138,9271,9636
Racgap1,21511,12593,13977,7149,8069,12212
Cacybp,14169,12634,12541,7300,7864,7573
Trip12,9944,10684,15022,14376,11337,12796
Clstn1,8099,8860,13083,12833,12526,15520
Lgals1,11105,12437,11260,12499,10277,13970
Pfn1,13254,15991,12356,9970,10101,11635
Wdr26,8870,10980,9789,11811,13329,11834
LOC108168233,12216,8160,9790,12436,10616,12259
Nsd2,10354,12317,10271,15380,11034,8431
Olfm1,11667,10443,9105,12209,10455,14037
Pcm1,14459,11700,10528,11066,11426,11424
Rps17,15638,13388,13507,11354,10221,9483
Hmgb2,13809,15203,13750,8391,12583,7279
Hnrnpa0,13855,9717,10750,13062,8625,13143
Cotl1,8544,5636,8176,14937,15035,10225
Rap1b,11784,13961,8156,9443,9194,13328
Ubr4,10387,10029,11767,13544,14068,8021
Tomm20,9808,13214,11875,7852,11121,9587
Tsnax,7966,9739,13131,12560,14089,10316
Chrna3,11192,9358,8966,13755,13928,12448
Csde1,11035,14337,11118,15750,8227,12115
Nefh,11421,8888,9361,10301,10343,8839
Cnot6,14878,12316,17883,9776,9712,13862
Coro1c,8374,9423,11999,11014,9838,8725
Emb,11093,12842,15809,7634,8640,10311
Rpl18,12775,13335,11666,9729,15741,12147
Aplp2,9195,9512,9492,12989,11957,15592
Rpl17-ps8,10260,11189,9300,10483,13347,12274
Pcbp1,14349,9351,10695,10856,10491,10691
Disp2,7901,7877,7209,20239,14339,13744
Psme4,9398,13526,9995,9772,13876,9993
Rpl30,9741,13558,13066,12202,10743,10212
Nfe2l1,9440,11694,9444,14591,11243,11445
Ndufs2,12344,12415,13958,10217,11137,9702
Hdgf,8895,10447,10657,10943,8485,10035
Mir6236,11203,7987,7926,17056,17958,19906
Eif4a1,13990,12658,12443,10923,10497,9174
Matr3,14294,13331,12555,11429,10676,12023
Ago2,10000,8753,8575,12523,12262,7813
Anxa6,9125,11172,9160,11451,14777,10328
Rac1,9496,12910,13885,12389,8843,9543
Maz,17807,9654,11444,11326,10567,13168
Nisch,10477,11914,10579,10725,10330,10660
Hmgn2,16954,11104,10428,8351,9622,7485
Srsf3,12215,13620,12904,8658,7904,7714
Rpl9,11979,10968,13088,8158,13004,10469
Capzb,8341,11652,13412,9656,8922,8420
Scarb2,9259,8053,7368,9221,14161,8613
Sv2c,11563,10525,10341,15584,11085,13202
Tars,8833,7583,10332,14015,8839,11134
Ankrd11,13356,10202,9307,11451,10550,9048
Lars,10723,9099,13849,9611,12215,10521
Nckap1,9104,14283,12276,10298,9667,11871
Tmem131,9708,11565,8747,14949,8790,12473
Gna13,9967,9893,9005,12246,9480,9593
Cd24a,11998,10320,12410,11603,11564,8407
Ptms,8872,9761,7498,18032,12773,9802
Actn1,9302,9628,10344,14992,6125,9017
Shc1,9956,15300,11391,13007,9064,7741
Ogdh,9608,7146,9110,10289,9463,8681
Sdhb,8513,10783,10985,9843,9878,9595
Sdha,10545,6943,11383,10607,11892,12453
Ccnd1,13040,13190,9840,11523,10155,5614
Yme1l1,8326,9493,11607,12435,8818,10981
Sf3b1,11681,15249,12992,10082,8945,11405
Rrm1,12482,12696,14984,7104,5972,7496
Ewsr1,10557,15040,11100,9479,10579,6145
Mars,12610,11120,12441,14515,10464,7300
Rpl7a,10304,13749,10585,10834,8555,8426
Metap2,14827,11289,11634,7445,8024,9192
Tardbp,11265,7748,12985,8111,7415,6950
Tmpo,14288,11697,13195,8001,7936,7854
Tubb2b,5294,4198,3846,18977,16427,15896
Ankrd17,9441,12623,12846,8415,9844,9743
Gspt1,13921,13635,13488,7473,10975,6534
Ppp3r1,10101,10328,10522,8623,9618,8973
Rpl37,11912,11470,11778,13301,12757,8117
Rangap1,12391,12837,11504,8620,11549,6977
Eif3d,8823,9663,10355,11565,10717,9648
Ctbp1,10639,15032,11723,11638,8039,11522
Cbfb,12873,13196,8670,7753,8878,8662
Vdac3,11667,9435,8542,7824,8796,11014
Naa50,10173,9258,10689,11923,8394,6803
Usp34,10270,9239,9714,7488,9147,9214
Shmt2,7693,10439,9455,10576,9866,10050
Ppp1ca,12239,10487,9411,10623,11959,8454
Rab1a,8389,9332,10525,9965,9610,8800
Eif4g3,7649,10425,12012,10527,14288,11101
Fau,10452,8660,11315,10257,9807,12133
Ttyh3,11187,9119,10843,11904,9309,9520
Rps15a,8028,8054,11430,10747,10272,12106
Yars,8005,8348,12469,7831,8873,10560
Gm364,8337,8344,12439,8139,10900,7774
Arid1a,8890,12555,9957,11538,13637,11183
Etf1,12528,12635,10056,6922,11749,11270
Sqle,5649,6572,5831,14393,11059,13264
Cox5b,9972,9265,10578,11734,7399,8964
Cyp51,7339,6130,7426,14431,10979,13981
Slit2,6994,9126,8688,9864,11764,13581
Rps13,11668,13282,11095,9534,8752,7390
Rpl17-ps10,8386,7712,8802,10028,10638,8559
Prep,9020,10354,10328,8696,6803,9517
Asl,5810,8180,7732,13193,11570,11829
Hcfc1,17312,13060,12746,6728,6312,9779
Pom121,10110,10654,6271,9769,7336,11498
Fem1b,8675,9248,8589,14602,13471,12600
Afdn,9921,7740,10766,9264,8720,8775
Dctn2,9052,11404,7678,12153,15187,10044
Eif2s2,9652,7815,12145,13323,8127,7486
Myh3,11818,8414,9496,12564,12076,14317
Rps19,8575,11234,11565,8676,9895,6465
Bclaf1,8508,13664,8452,5718,11185,5795
Dnaja1,9100,12667,12419,6909,13565,10387
Tln2,8475,12436,10963,9647,13646,7319
Azin1,12217,13213,10948,8748,10951,7718
Tomm70a,12345,10316,7066,9108,10726,10350
2610005L07Rik,7240,9730,6500,20497,13269,10715
2017-09-11 00:00:00,7566,12580,9122,11167,11713,12946
Mapk8ip1,7478,6963,6244,10743,9741,9799
Eif5b,14026,8546,13591,11489,6137,7577
Lamc1,5635,7839,7616,13441,8589,8561
Zc3h7b,10735,12372,11008,10024,7924,9914
Klhdc10,6899,10305,8837,12279,12329,12832
Gnao1,9267,7191,12474,12543,13473,13606
Csnk1d,7509,9460,9114,10069,9709,14906
Lrrc59,11032,12534,14922,6539,6764,9874
Rsl1d1,8123,12692,9777,10699,9694,7543
Stt3b,7810,6712,7558,11816,11847,9120
Sparc,8802,6203,7234,10694,13091,13688
Gm5093,12699,10428,13583,8778,9579,10171
Ckap5,9848,11130,9551,7612,7171,9573
Smarcc1,8940,10546,12442,7155,7470,9755
Ccni,5323,7058,8225,12878,14695,15756
Ddx39b,10702,12022,11428,7546,6713,7147
Lrrc58,9234,5949,9557,9751,12624,9682
Ybx3,11117,19051,11474,8117,12123,9753
Irs2,9835,11471,8928,10022,9283,7060
Dst,6959,9874,8675,11844,12708,7995
Baz1b,11591,10437,12537,6340,7709,6567
Rps12,10456,11264,9192,8631,8821,8495
Laptm4a,10284,11556,5125,12326,10407,10947
Khdrbs1,14565,14171,11568,6818,10241,11853
Usp19,9295,9615,8398,9840,9911,10038
Rnf4,8602,7950,10813,7304,9449,6119
Zbed5,10367,10748,8965,8361,5990,11109
Hmgn1,10123,10687,12000,8681,7154,9632
F2r,8427,11112,9190,9701,8738,11504
Rpl26,9785,7910,9282,8953,8195,10534
Uqcrq,7904,9202,9386,9411,7523,7092
Ret,11123,10412,10544,7438,8316,6503
Hnrnpul2,9604,9001,7143,11079,11799,12851
Smarca5,11132,12718,13144,6693,8115,10650
Trim44,8100,6863,9933,7442,7853,8291
Sf3b2,9150,8407,10963,7692,6318,8498
Cd164,7936,8833,7017,7990,9548,8585
Hnrnpm,10508,12609,12628,8389,8597,10342
Pank3,8430,8805,9247,8801,9890,6398
Lrp11,9553,8246,12138,7834,10565,12016
Tcea1,8754,10032,8025,8112,9357,9446
Asna1,7905,10467,9702,6889,9761,8746
Ube4b,9643,8674,11247,6808,9794,9629
Pten,6504,8434,5648,10152,7557,9168
Psma7,9361,10008,9698,10763,10342,8534
Sec61a1,8312,9703,8439,8276,10996,6309
Prpf19,6934,10294,6666,7162,6674,8641
Ap3d1,9074,7755,7509,9030,9744,9830
Ctsd,8367,7476,8427,9843,10688,12273
Cand1,9796,9355,10621,8212,7118,8382
Amfr,7659,8785,10981,12825,9389,16068
Rbm3,10814,12300,13581,6680,8259,8658
Ranbp1,9967,10265,9329,6473,5996,8774
Tnks2,8584,8694,10282,9321,9475,10808
Atp6ap1,7169,8325,8419,8519,10045,12978
Copb2,10454,12385,10412,6712,7314,8789
Anp32b,8631,11157,8718,5091,7379,12762
Atxn10,8855,11841,11710,8701,10897,6971
Ghitm,6794,6629,8965,10157,12104,15637
Mbtps1,8891,10319,9560,9017,8012,9808
Picalm,7954,8112,7416,11621,11494,10105
Sf1,11526,8763,8490,5354,7520,6205
Akap12,6810,9330,7502,10333,7188,8243
Rpl27,11032,11000,11809,10947,8784,7506
Ptn,7136,7199,5033,11223,14278,15415
Cse1l,12173,11822,14063,6682,6652,7989
Atp5d,10785,9475,9709,10908,9978,9278
Larp4,8864,8629,10555,9298,9699,8125
Rps20,8580,8509,10226,9888,9060,10568
Aes,9508,9160,12853,8276,11279,11638
Atp6v1a,8064,8770,8458,9626,9793,11047
Paics,10517,5728,9788,9091,8515,7509
Acot7,6549,9522,9144,11242,7704,9285
Larp4b,10006,10909,9263,9160,9014,8880
Cnr1,7516,7546,6100,15190,12465,19495
Hint1,12047,10694,10184,10568,9721,6804
P4ha2,7337,7870,5876,7877,10767,14625
Rps21,7296,8916,10165,7907,8177,7409
2610507B11Rik,11063,9166,7321,7865,13466,9233
Surf4,9076,10171,11326,9202,8495,9035
Mif,5106,6646,7507,15631,10571,7995
Hdac2,10415,8463,7890,7029,8406,7290
Tpp2,7445,10043,10890,7077,6031,8674
Hnrnpc,7462,7462,10580,9642,8060,9040
A730008H23Rik,9230,10407,10502,6325,8726,6324
Ap2m1,11377,6981,6905,8230,11185,8714
Polr2a,10184,11221,8621,8458,6891,6885
